# Anomalous hall conductivity in unit of S/cm,Brodening eta= 5.00 meV
#column    1               2               3               4
# Eenergy (eV)       \sigma_xy       \sigma_yz       \sigma_zx
 -0.60000000E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.58787879E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.57575758E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.56363636E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.55151515E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.53939394E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.52727273E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.51515152E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.50303030E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.49090909E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.47878788E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.46666667E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.45454545E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.44242424E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.43030303E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.41818182E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.40606061E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.39393939E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.38181818E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.36969697E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.35757576E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.34545455E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.33333333E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.32121212E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.30909091E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.29696970E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.28484848E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.27272727E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.26060606E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.24848485E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.23636364E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.22424242E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.21212121E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.20000000E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.18787879E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.17575758E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
 -0.16363636E+00  0.32234053E-04  0.20311994E-04  0.18586908E-04
